id,date,phase,lesson,site_real,attribution_kind,symptom,root_cause,impact,evidence,issue,pr,job_id,preventive_change,general_lesson
F1,2026-05,3-node,3,,technical,Run aborts: client X didn't report status for N seconds,Slow site silent during its long round exceeds max_status_report_interval,Whole run lost; every other site's epoch discarded,docs/SWARM_FAILURE_MODES.md#F1,,#345,,24 h timeouts committed into the job configs,A timeout tuned on the fastest participant is a policy that excludes the slowest
F2,2026-06,3-node,3,,technical,NVML: Unknown Error mid-run; the GPU vanishes from the container,Daily systemd daemon-reload strips the GPU on cgroup v2 with the systemd Docker driver,Run lost mid-epoch; recurs on a daily timer,docs/SWARM_FAILURE_MODES.md#F2,#343,,,scripts/client_node_setup/fix_docker_cgroupfs.sh switches the driver to cgroupfs,Host maintenance the consortium does not control is part of the training system
F3,2026-06,2-node,2,,technical,Client reports healthy but never registers after a restart,Stale daemon_pid.fl lock makes start.sh refuse to launch,Site silently absent from the run,docs/SWARM_FAILURE_MODES.md#F3,,,,Delete daemon_pid.fl in the kit root before relaunch; documented in the restart runbook,Installed is not running; running is not registered
F3b,2026-09-04,consortium,2,UKA,technical,A host reboot mid-run triggers the stale lock silently and the run then hangs for a full day,Unclean reboot leaves the lock; nothing detects it,"~24 h of consortium time lost per occurrence, twice on the same day",docs/SWARM_FAILURE_MODES.md#F3b,,,,Documented as F3b; reboot detection still open,A silent hang costs more than a loud crash
F4,2026-05,local,4,,technical,Instant crash: OSError: Read-only file system,Preprocessing cache written under the read-only /data mount,Fast failure; cheap,docs/SWARM_FAILURE_MODES.md#F4,,,,Point ODELIA_PREPROCESS_CACHE_DIR under /scratch; added to preflight,The cheapest failures are the ones that happen before the run starts
F5,2026-06,3-node,3,,technical,Run aborts with MODEL_UNRECOGNIZED from a slow site,Swarm advanced a round without the slow site; its late model was then rejected,Run lost,docs/SWARM_FAILURE_MODES.md#F5,,#345,,Wait-for-all: min_responses_required = number of clients,Partial progress in a synchronous protocol is not progress
F6,2026-07,consortium,3,,participation,Run aborts after a node goes deemed disconnected,VPN tunnel drop for that site,Run lost; recurs on long multi-epoch rounds,docs/SWARM_FAILURE_MODES.md#F6,,,,VPN keepalive and a root watchdog timer; wait-for-all bounds the wait by learn_task_timeout,"Network reliability requirements grow with round length, not with site count"
F7,2026-05,local,3,,technical,"DataLoader worker killed by signal: Bus error, shared memory",/dev/shm too small for the dataloader workers,Run lost early,docs/SWARM_FAILURE_MODES.md#F7,,,,--ipc=host set for swarm clients,"Container defaults are tuned for services, not for training"
F8,2026-07-31,consortium,4,"RUMC,UKA",technical,Run trains on a SUBSET and still reports success: clients did not configure within timeout but min_clients=N allows proceeding,Controller stops waiting once configure_min_clients have answered; a site whose job cell is seconds slower receives the p2p key_exchange before its child cell exists,"A 7-site benchmark silently became a 5-site benchmark; the dropped sites are the slowest, which on a real consortium are the largest",docs/SWARM_FAILURE_MODES.md#F8,,,,Set configure_min_clients = participating site count for every benchmark run,A resilience default becomes a correctness bug the moment the run is a benchmark
F9,2026-07-31,consortium,2,RSH,participation,Site absent from check_status server while its container reports Up N weeks (healthy),Startup kit from an older provisioning generation; TLS handshake rejected by a superseded root,A site believed itself connected and contributed nothing for three weeks,docs/SWARM_FAILURE_MODES.md#F9,,,,Verify the expected site count in check_status server after every kit roll-out,A health check that does not check the thing that matters is worse than none
F10,2026-09-04,consortium,5,,technical,cross_val_results.json is {} although the server logged Published metrics for 8 site(s),Two components act on the same END_RUN; ValidationJsonGenerator writes the file before the later-listed collector publishes into it,"Per-site results never left the hospitals; blocked D2.5, D3.3 and the privacy work",docs/SWARM_FAILURE_MODES.md#F10,#525,#534,7c6e72c6,"Publish on ABOUT_TO_END_RUN, which fires strictly earlier, so the result no longer depends on config ordering","When one component consumes what another produces, do not let config order decide"
E1,2026-09,consortium,7,"UMCU,CAM",technical,Per-site table ranked one centre worst on macro AUROC,Macro AUROC averaged a benign one-vs-rest figure computed from 2 positive cases; the ordering tracked benign support almost exactly,"A centre was described as underperforming on a split artefact. Excluding that class it moves 0.602 to 0.717, another 0.710 to 0.908",docs/EVALUATION_PITFALLS.md#E1,,#533,,Every metric travels with its per-class support; no ranking on macro where a class has single-digit support,A summary statistic computed over a class that barely exists is not a measurement
E2,2026-08,consortium,5,,technical,A checkpoint loaded with the wrong architecture fails silently,best_FL_global_model.pt evaluated with a different --model-name; weights load partially and produce plausible numbers,An entire evaluation was invalid and looked fine,docs/EVALUATION_PITFALLS.md#E2,#541,#545,87c5bbee,Read train_conf out of the checkpoint and check it against --model-name before evaluating; warm-start provenance guard,Silence is the most expensive failure mode in machine learning
E3,2026-09,consortium,7,,technical,Pooled accuracy 0.752 alongside malignant AUROC 0.887 looked acceptable,Accuracy hides the operating point; the threshold was not where the AUROC suggested,A model with poor malignant recall reads as adequate,docs/EVALUATION_PITFALLS.md#E3,,,,Report malignant recall alongside accuracy,Discrimination and calibration are different questions and accuracy answers neither
O1,2026-09-08,in-house,3,,technical,Three in-house test runs lost; transfers extremely slow,"Peer traffic routed through the coordinating server; the two test machines reach each other in 1 ms but the server is in another city, so Tailscale falls back to a DERP relay. A 700 MB model crossed the country twice per round",Three runs lost; initially misread as a platform defect,docs/report_wp2_wp3_status_M45.html,#553,,,Diagnosed and documented; topology fix open,"Measure the path, not the endpoints"
O2,2026-09-08,in-house,4,"RUMC,MHA",technical,Deploy test collided with the production server; symptom looked like a stale startup kit,The two-node deploy test shared both project name AND ports (8002/8003) with the production server,Misdiagnosis cost hours; risk of disturbing production,,,#544,,Moved the test project to ports 8102/8103,A test that shares a namespace with production is a production change
O3,2026-09-09,ci,6,,technical,A broken metric path survived two live eight-site runs with green CI,pytest.importorskip('nvflare') skipped the collector's entire test file because the workflow never installed NVFlare,Two consortium runs produced no usable per-site results,docs/SWARM_FAILURE_MODES.md#F10,,#534,,Workflow now installs the in-tree fork; tests run and are visible by name,A skipped test file reports the same green as a passing one
O4,2026-09-10,ci,6,,technical,Four tests in test_partner_handbook_is_real.py have never run,Skip guard points at docs/consortium/PARTNER_HANDBOOK.md which does not exist; the handbooks are .docx under untracked workspace/,The check that partner-facing docker.sh flags still exist has never executed,,#565,,,Proposed: fail CI on unexpected skips with an allowlist,"The fourth recurrence of the same class of defect is a process problem, not a coding problem"
O5,2026-09-10,ci,6,,technical,validate-swarm reported fail repeatedly on unrelated PRs,Job-level concurrency group keeps at most one PENDING job; a third arrival evicts the queued one. gh renders cancelled identically to fail,Wasted reruns; one wrong diagnosis recorded about a dependabot PR,,#554,,,"Proposed: drop the job-level group and rely on the existing host_gpu_lock.sh, which blocks rather than evicting",Never present cancelled and failed to a human the same way
O6,2026-09-09,analysis,7,"CAM,RUMC,UMCU",technical,Four of eight recorded site join dates were wrong by ~6 weeks,April records came from internal test machines running under hospital site names on pre-release kits,A published chart misstated when the consortium formed,,,#560,,"Site attribution now resolved from heartbeat.json hostname, not the configured site name","A site name in a config is a label, not an identity"
O7,2026-09-09,analysis,7,VHIO,technical,A site's benign count was rendered as blank rather than zero,Class absent from the counts dict was treated as missing data,A real finding (one site holds no benign cases at all) read as a gap in the record,,,#560,,"Absent class recorded as 0, not blank",Absence of a class is data; absence of a record is not
